project_id,domain,complexity_level,team_size,duration_months,sprint_length_weeks,num_sprints,total_user_stories,avg_story_points,velocity_per_sprint,tech_stack_difficulty,requirement_volatility_score,actual_effort_hours,actual_cost_usd,risk_level
project_00001,Healthcare,Low,3,4,2,8,12,2.5,6.0,Basic,Low,2076.05,79213.36,Low
project_00002,E-commerce,Medium,8,8,2,16,16,5.9,37.8,Intermediate,Low,18507.4,825264.67,Medium
project_00003,AI Platform,High,11,8,2,16,21,5.6,49.3,Advanced,High,45715.01,2367448.98,High
project_00004,SaaS,Low,5,4,2,8,14,2.4,9.6,Basic,Low,3347.53,128952.73,Low
project_00005,Healthcare,Medium,6,5,2,10,16,4.7,22.6,Intermediate,Medium,9001.75,443479.68,Medium
project_00006,Cloud System,High,9,9,2,18,22,5.8,41.8,Intermediate,Medium,31665.29,1671845.04,High
project_00007,E-commerce,Low,5,2,2,4,13,3.3,13.2,Basic,Medium,2033.47,66620.3,Low
project_00008,SaaS,Medium,5,4,2,8,17,4.5,18.0,Intermediate,Medium,6315.11,311144.2,Medium
project_00009,EdTech,High,9,12,2,24,22,7.6,54.7,Intermediate,Medium,40037.98,2436644.77,High
project_00010,EdTech,Low,4,3,2,6,10,3.9,12.5,Basic,Low,2109.92,72393.26,Low
project_00011,EdTech,Medium,8,5,2,10,16,4.6,29.4,Intermediate,Medium,12988.16,495177.66,Medium
project_00012,IoT,High,12,9,2,18,22,7.2,69.1,Advanced,High,54019.4,2954778.03,High
project_00013,IoT,Low,5,2,2,4,13,3.8,15.2,Basic,Medium,2057.82,70524.52,Low
project_00014,Healthcare,Medium,6,7,2,14,19,5.5,26.4,Basic,Low,9312.29,451702.55,Medium
project_00015,SaaS,High,11,7,2,14,27,6.7,59.0,Advanced,High,40330.66,2115748.17,High
project_00016,SaaS,Low,3,3,2,6,11,2.6,6.2,Basic,Medium,1671.25,63294.13,Low
project_00017,IoT,Medium,6,8,2,16,21,4.9,23.5,Intermediate,Medium,15756.06,715791.4,Medium
project_00018,SaaS,High,11,8,2,16,28,6.6,58.1,Advanced,Medium,41916.41,2311513.62,High
project_00019,Cloud System,Low,3,2,2,4,15,3.2,7.7,Basic,Low,1130.2,40658.3,Low
project_00020,Cloud System,Medium,7,6,2,12,21,4.9,27.4,Intermediate,Medium,12892.26,651640.17,Medium
project_00021,IoT,High,8,12,2,24,30,7.1,45.4,Intermediate,High,40958.4,2057645.5,High
project_00022,SaaS,Low,5,4,2,8,15,3.4,13.6,Basic,Low,3541.32,125312.95,Low
project_00023,SaaS,Medium,8,6,2,12,16,5.3,33.9,Intermediate,Low,14132.11,614383.62,Medium
project_00024,EdTech,High,10,6,2,12,30,6.1,48.8,Advanced,High,31248.24,1693322.34,High
project_00025,Cloud System,Low,5,3,2,6,10,3.8,15.2,Basic,Low,2441.16,90012.01,Low
project_00026,Healthcare,Medium,5,4,2,8,21,4.2,16.8,Intermediate,Medium,6632.06,320074.45,Medium
project_00027,IoT,High,8,7,2,14,30,7.9,50.6,Intermediate,High,25227.81,1406161.45,High
project_00028,IoT,Low,5,3,2,6,15,3.3,13.2,Basic,Low,2473.52,79514.01,Low
project_00029,Cloud System,Medium,7,6,2,12,17,4.9,27.4,Intermediate,High,15318.72,695349.52,High
project_00030,SaaS,High,11,9,2,18,25,7.0,61.6,Intermediate,High,40791.14,2310486.12,High
project_00031,IoT,Low,4,4,2,8,15,2.5,8.0,Basic,Low,2778.4,100624.04,Low
project_00032,AI Platform,Medium,5,7,2,14,15,4.8,19.2,Intermediate,Medium,10472.31,466185.06,Medium
project_00033,EdTech,High,9,8,2,16,26,5.0,36.0,Advanced,Medium,31753.95,1856718.37,High
project_00034,Cloud System,Low,4,4,2,8,12,3.6,11.5,Basic,Medium,2985.22,108039.9,Low
project_00035,Cloud System,Medium,5,5,2,10,16,4.5,18.0,Intermediate,Medium,8317.36,330973.7,Medium
project_00036,AI Platform,High,8,10,2,20,28,5.9,37.8,Advanced,Medium,38213.05,2122031.76,High
project_00037,Healthcare,Low,5,4,2,8,11,3.2,12.8,Basic,Medium,3733.21,118470.27,Low
project_00038,Cloud System,Medium,8,5,2,10,20,5.2,33.3,Intermediate,Medium,13108.66,627454.4,Medium
project_00039,IoT,High,9,8,2,16,25,7.3,52.6,Advanced,Medium,33585.02,1746131.24,High
